time,particles 03um,particles 05um,particles 10um,particles 25um,particles 50um,particles 100um,Temperature C,Gas Ohm,Humidity %%,Pressure hPa,Altitude meters
1772058607.2457626,12,4,0,0,0,0,23.3290234375,55122,60.024073945172006,1009.1616930026556,34.093687842591976
1772058608.256592,12,4,0,0,0,0,23.373359375,59960,60.01027641306482,1009.1673549152656,34.04639408739982
1772058609.2674298,18,4,0,0,0,0,23.4161328125,64526,60.13799947450863,1009.1687124605938,34.035054591362965
1772058610.2781796,18,4,0,0,0,0,23.4618359375,68276,60.266245340153326,1009.1691740136567,34.03119926866963
1772058611.2889843,18,4,0,0,0,0,23.50265625,72132,60.34654951305747,1009.1729420285545,33.999725338892816
1772058612.2997704,24,6,0,0,0,0,23.5337109375,75597,60.35108931939613,1009.1704926860903,34.020184491533776
1772058613.31198,24,6,0,0,0,0,23.5598828125,77937,60.25353392264728,1009.1768606948629,33.9669931307632
1772058614.324075,24,6,0,0,0,0,23.5815625,81167,60.0743339417026,1009.1651401303461,34.06489408168562
1772058615.3361177,30,8,0,0,0,0,23.6020703125,83553,59.91535252813955,1009.1607456701306,34.101600898548
1772058616.3482435,30,8,0,0,0,0,23.6175,86083,59.72205164473009,1009.1520202312859,34.17448465578124
1772058617.3602793,30,8,0,0,0,0,23.62921875,88062,59.50819484542642,1009.1521286310871,34.173579187038904
1772058618.372369,36,10,0,0,0,0,23.63390625,89949,59.320449273239845,1009.1485016684778,34.20387542244838
1772058619.3844743,36,10,0,0,0,0,23.640546875,92401,59.10628181972563,1009.1296000088769,34.361763541583905
1772058620.3965669,36,10,0,0,0,0,23.646015625,96311,58.91902259988585,1009.0923360498836,34.67304144505449
1772058621.4086926,48,14,0,0,0,0,23.653046875,97645,58.77240491050653,1009.0795537286128,34.77981845329999
1772058622.4208677,48,14,0,0,0,0,23.6567578125,99240,58.63882414357291,1009.0652118759162,34.899624297363005
1772058623.4329636,48,14,0,0,0,0,23.657734375,101585,58.478147709924045,1009.0557390771476,34.978756855740286
1772058624.4450278,78,22,4,0,0,0,23.6551953125,102890,58.310407571694846,1009.0443996992307,35.073482976254994
1772058625.4571667,78,22,4,0,0,0,23.6469921875,104414,58.15537816804381,1009.0388208783318,35.120087265470865
1772058626.469216,78,22,4,0,0,0,23.638984375,107143,57.99381983370114,1009.028044249026,35.21011353694092
1772058627.4813669,96,28,4,0,0,0,23.629609375,107339,57.82552760594395,1009.0261247289627,35.22614898825921
1772058628.4934027,96,28,4,0,0,0,23.619453125,108998,57.6772830933346,1009.0174693478518,35.298455360035184
1772058629.5055273,96,28,4,0,0,0,23.60734375,110225,57.5355438935804,1008.9873877576879,35.54975849978957
1772058630.5175998,114,34,6,0,0,0,23.5934765625,112404,57.420307958881,1008.9600431313613,35.77820216765334
1772058631.5289397,114,34,6,0,0,0,23.581171875,112764,57.312021179089115,1008.9278199491871,36.04740891367464
1772058632.54091,114,34,6,0,0,0,23.56984375,114004,57.22389772181432,1008.8879608808088,36.380418869421526
1772058633.5529246,138,40,8,0,0,0,23.55578125,115878,57.155388299711646,1008.8511359268382,36.68808922289923
1772058634.5649903,138,40,8,0,0,0,23.5438671875,116954,57.09385653588534,1008.8231994710128,36.92150275616725
1772058635.5771153,138,40,8,0,0,0,23.53,117422,57.032072337577745,1008.7976919888357,37.13462639907091
1772058636.5892522,126,36,8,0,0,0,23.5157421875,117893,56.97690090435539,1008.7623959971756,37.42954354659545
1772058637.6013784,126,36,8,0,0,0,23.5001171875,119168,56.93484393096804,1008.7286170861378,37.71179248738067
1772058638.613639,126,36,8,0,0,0,23.4846875,119898,56.91939774457367,1008.6969809369907,37.976143934662566
1772058639.625759,138,42,10,0,0,0,23.4692578125,121051,56.91059665731855,1008.6690144307175,38.209837461385696
1772058640.6378756,138,42,10,0,0,0,23.454609375,121804,56.90190573391759,1008.6312711810123,38.525235662331006
1772058641.650042,138,42,10,0,0,0,23.4426953125,122908,56.9201693334923,1008.5978343859596,38.80465533059932
1772058642.663967,138,42,12,0,0,0,23.429609375,123338,56.95155858000502,1008.569890840212,39.038175578148646
1772058643.6760893,138,42,12,0,0,0,23.4153515625,123684,56.996079166556065,1008.5419368615891,39.271788253455405
1772058644.6879132,138,42,12,0,0,0,23.4008984375,123597,56.98741167206576,1008.5191788444488,39.46198191318096
1772058645.6998196,138,42,12,0,0,0,23.3891796875,124382,56.95919369506159,1008.5043951720472,39.58553411526554
1772058646.7116957,138,42,12,0,0,0,23.379609375,124911,56.91799495702728,1008.491160047194,39.69614582044863
1772058647.7238758,138,42,12,0,0,0,23.370234375,125713,56.86355108145339,1008.4837353390919,39.758197855777055
1772058648.7355447,150,44,12,0,0,0,23.3622265625,126344,56.829232239142996,1008.4601205189061,39.955561293591515
1772058649.747677,150,44,12,0,0,0,23.355,126344,56.82822386067421,1008.4303991376341,40.20396630117274
1772058650.7597487,150,44,12,0,0,0,23.3489453125,126344,56.8472984098493,1008.4006891241067,40.4522822242078
1772058651.7710578,162,48,16,0,0,0,23.3458203125,127348,56.86014291353743,1008.3645869512427,40.75403170814225
1772058652.7830367,162,48,16,0,0,0,23.338203125,129121,56.89892649974411,1008.3140757306926,41.17622969683836
1772058653.7951539,162,48,16,0,0,0,23.3294140625,129216,56.87777514454882,1008.289233146185,41.38388269817658
1772058654.806994,144,44,12,0,0,0,23.321796875,129216,56.83687041761007,1008.253396821037,41.68343694862578
1772058655.8182113,144,44,12,0,0,0,23.3161328125,131138,56.7962473900675,1008.218801793922,41.972623422220906
1772058656.830334,144,44,12,0,0,0,23.313203125,130944,56.749377828184976,1008.1701706603083,42.37915399072742
1772058657.8424025,138,42,12,0,0,0,23.3094921875,131924,56.71568131681385,1008.1258125006103,42.749978603083505
1772058658.8545303,138,42,12,0,0,0,23.3034375,133725,56.694933389083324,1008.086935976912,43.074988788727396
1772058659.8653643,138,42,12,0,0,0,23.29640625,135057,56.62762105671738,1008.061195422335,43.29018702989386
1772058660.876152,150,44,12,0,0,0,23.287421875,136100,56.53354433917725,1008.0323808785926,43.53108995904168
1772058661.8869467,150,44,12,0,0,0,23.277265625,137480,56.399603169378764,1008.0090582675746,43.726081870394694
1772058662.897488,150,44,12,0,0,0,23.2544140625,138344,56.32358538041291,1008.0042660170207,43.76614859560728
1772058663.9082708,132,40,10,0,0,0,23.2278515625,139770,56.2735652042297,1007.9954641643933,43.83973893318958
1772058664.920324,132,40,10,0,0,0,23.2159375,140550,56.232204624789404,1007.9950483183441,43.843215742646485
1772058665.932462,132,40,10,0,0,0,23.209296875,142023,56.17173403042868,1007.9882626225807,43.89994981400743
1772058666.9445763,144,44,10,0,0,0,23.2075390625,140662,56.145029422770044,1007.9799941203114,43.969081801436744
1772058667.9567423,144,44,10,0,0,0,23.212421875,142482,56.29128981583487,1007.9803450674827,43.966147563555396
1772058668.9685931,144,44,10,0,0,0,23.221796875,141566,56.319069516389916,1007.9840994750439,43.93475734979357
1772058669.9807677,144,42,8,0,0,0,23.2294140625,143176,56.339988503604346,1007.9777511155183,43.987835383256396
1772058670.99285,144,42,8,0,0,0,23.231953125,143526,56.486076399279334,1007.9835817252216,43.93908619694175
1772058672.0041876,144,42,8,0,0,0,23.22921875,143643,56.35320560311702,1007.9701081807661,44.0517375968291
1772058673.0163183,156,44,8,0,0,0,23.2184765625,144823,56.42457548102503,1007.969703688789,44.055119545920114
1772058674.028406,156,44,8,0,0,0,23.205,144704,56.462458584784656,1007.9668282498236,44.07916106358785
1772058675.040561,156,44,8,0,0,0,23.193671875,145902,56.43438669595101,1007.9728354017352,44.028935387135014
1772058676.0526414,186,54,10,0,0,0,23.184296875,146509,56.40659033571695,1007.9672463977917,44.075664928976906
1772058677.064804,186,54,10,0,0,0,23.1743359375,146753,56.35222829965123,1007.9680696620078,44.06878162138523
1772058678.076886,186,54,10,0,0,0,23.1610546875,147861,56.330525839992475,1007.9710002982123,44.04427862511136
1772058679.0890305,204,62,12,0,0,0,23.1497265625,148734,56.31571711797273,1007.9751710959102,44.00940676049635
1772058680.1011586,204,62,12,0,0,0,23.1446484375,147490,56.39447520069515,1007.9855131831922,43.92293750654557
1772058681.113052,204,62,12,0,0,0,23.1493359375,147737,56.37525594329714,1007.994726273461,43.84590829925082
1772058682.1253784,204,62,8,0,0,0,23.1516796875,148986,56.315987305495476,1008.0002496600077,43.7997284012324
1772058683.1381257,204,62,8,0,0,0,23.155390625,150128,56.29002056638511,1008.006091751609,43.75088409880979
1772058684.1502743,204,62,8,0,0,0,23.16046875,150899,56.20468677665103,1008.0067514829103,43.74536826077987
1772058685.1623788,228,68,10,0,0,0,23.1712109375,152071,56.1267853475041,1008.0163278932772,43.66530276857219
1772058686.1745195,228,68,10,0,0,0,23.184296875,152334,56.0294031966455,1008.0112563196075,43.70770459680326
1772058687.186628,228,68,10,0,0,0,23.1950390625,152202,55.925137410600634,1008.006161788386,43.750298539798926
1772058688.1987846,234,70,10,0,0,0,23.2048046875,152597,55.913267343366535,1007.9995292872195,43.80575127821774
1772058689.2108874,234,70,10,0,0,0,23.212421875,152862,55.874677342189926,1008.002350987604,43.78215968752162
1772058690.223055,234,70,10,0,0,0,23.220625,151158,55.84938447126636,1008.0042610030156,43.76619051643924
1772058691.235217,222,66,8,0,0,0,23.220234375,154065,55.80310178148514,1008.0128153467276,43.694670044274666
1772058692.2465937,222,66,8,0,0,0,23.199140625,155286,55.734183033872874,1008.0089509346278,43.72697925076682
1772058693.2584405,222,66,8,0,0,0,23.1696484375,156528,55.7037341496424,1008.0083669708771,43.73186160767976
1772058694.2705362,258,74,12,0,0,0,23.1364453125,155836,55.65299056584988,1008.0074377912101,43.73963022262752
1772058695.2826507,258,74,12,0,0,0,23.099140625,157226,55.634684026610834,1008.0073803169362,43.74011074937439
1772058696.2947614,258,74,12,0,0,0,23.066328125,158072,55.57742683637729,1008.0088892682448,43.727494825969586
1772058697.306907,294,86,18,0,0,0,23.0313671875,157226,55.54626892866233,1008.0088437573166,43.72787532999585
1772058698.318794,294,86,18,0,0,0,22.9981640625,158072,55.541728890656174,1007.9987281398295,43.81244949781206
1772058699.3309374,294,86,18,0,0,0,22.9690625,157930,55.55093603463364,1007.9950671676619,43.84305814707185
1772058700.3430414,294,88,20,0,0,0,22.9409375,157086,55.56687032020578,1007.9874413718204,43.90681617572287
1772058701.355202,294,88,20,0,0,0,22.9157421875,159214,55.583206168192056,1007.9935911328174,43.85539900190324
1772058702.3673418,294,88,20,0,0,0,22.8973828125,159791,55.67302435549172,1007.9940065549329,43.851925732812724
1772058703.3797007,294,90,20,0,0,0,22.8837109375,158072,55.72393089164909,1008.0018024848446,43.78674558929205
1772058704.3920286,294,90,20,0,0,0,22.874921875,160812,55.76231939310758,1008.0044569933023,43.76455189104013
1772058705.4042168,294,90,20,0,0,0,22.8758984375,160959,55.775652269769736,1008.0004963246511,43.797666093698375
1772058706.416366,294,88,20,0,0,0,22.886640625,160812,55.86954511821712,1008.0119149716339,43.70219780514647
1772058707.4284966,294,88,20,0,0,0,22.898359375,161253,55.91738114857739,1008.0138737994458,43.685820651676174
1772058708.4406168,294,88,20,0,0,0,22.913203125,162293,55.95244714884835,1008.0225863299015,43.61297819153354
1772058709.452779,264,78,18,0,0,0,22.9290234375,162442,55.96122712171898,1008.0236710423883,43.603909320492356
1772058710.4649086,264,78,18,0,0,0,22.9458203125,161994,55.94371611034684,1008.0317917446893,43.53601544945866
1772058711.4771214,264,78,18,0,0,0,22.9606640625,162442,55.952362175849196,1008.0331697268184,43.524494748340416
1772058712.4887154,240,70,18,0,0,0,22.98,162893,55.94841321181418,1008.0361211391801,43.49981933358542
1772058713.5006523,240,70,18,0,0,0,23.0001171875,163043,55.93135932082012,1008.0293019052269,43.55683193192153
1772058714.5127583,240,70,18,0,0,0,23.02453125,162893,55.92810897093208,1008.0310795609236,43.54196970896092
1772058715.5245993,246,72,18,0,0,0,23.056171875,163953,55.89282396336364,1008.0442332804002,43.43199771626941
1772058716.5367255,246,72,18,0,0,0,23.0878125,163497,55.850939807656374,1008.0482164398828,43.398696643402175
1772058717.5488532,246,72,18,0,0,0,23.1165234375,164412,55.83507316145996,1008.053083580246,43.3580052223145
1772058718.560987,240,70,20,0,0,0,23.1419140625,164566,55.80554529393026,1008.0563872514322,43.33038517764589
1772058719.5718114,240,70,20,0,0,0,23.16359375,164874,55.749105184381754,1008.0446775301216,43.42828357591665
1772058720.5825899,240,70,20,0,0,0,23.1860546875,164720,55.712585414961985,1008.0506986130953,43.37794457039906
1772058721.5933754,258,70,22,0,0,0,23.21359375,165183,55.676768014358885,1008.0482076750061,43.39876992174673
1772058722.604118,258,70,22,0,0,0,23.2407421875,165338,55.60131878558947,1008.0450982204977,43.424766404191224
1772058723.6175926,258,70,22,0,0,0,23.2645703125,165183,55.538629096355194,1008.0404265990309,43.4638234492841
1772058724.629676,258,74,20,0,0,0,23.2815625,166274,55.481613656912906,1008.0396640778622,43.47019851389065
1772058725.641674,258,74,20,0,0,0,23.299921875,166588,55.43139138170493,1008.0300477875957,43.55059592419547
1772058726.6537948,258,74,20,0,0,0,23.320625,167220,55.35514451810608,1008.025952603718,43.584834074507214
1772058727.6658297,252,68,14,0,0,0,23.3493359375,167062,55.30636600546117,1008.0271221854432,43.57505567061824
1772058728.6780634,252,68,14,0,0,0,23.3809765625,166903,55.24482664136707,1008.029230529876,43.557428671309545
1772058729.6902199,252,68,14,0,0,0,23.4034375,167697,55.201801455312655,1008.0260594132125,43.58394108276706
1772058730.702344,282,76,14,0,0,0,23.42140625,167379,55.15158851063222,1008.024988274221,43.59289645371724
1772058731.7144027,282,76,14,0,0,0,23.451875,167379,55.096511255282095,1008.0270768587648,43.575434628631186
1772058732.7256367,282,76,14,0,0,0,23.4909375,168177,55.06235731864243,1008.0298428293172,43.552309493498555
1772058733.73773,294,78,12,0,0,0,23.5315625,168338,55.03500014539617,1008.0405652191292,43.4626645152117
1772058734.7497556,294,78,12,0,0,0,23.5719921875,168499,55.0010407890493,1008.0399651516001,43.467681383919825
1772058735.761866,294,78,12,0,0,0,23.609296875,167062,54.966659808335216,1008.0362757386487,43.49852679944277
1772058736.773863,264,70,10,0,0,0,23.647578125,167697,54.94557024196829,1008.0377862613043,43.485898031572965
1772058737.785947,264,70,10,0,0,0,23.6817578125,168984,54.917346834941995,1008.0383430560973,43.48124293664264
1772058738.7980828,264,70,10,0,0,0,23.714375,168822,54.88233797634543,1008.0437775724665,43.435807654138074
1772058739.8102708,300,82,16,0,0,0,23.7466015625,168499,54.85385525293192,1008.0449226733313,43.42623406188919
1772058740.8223417,300,82,16,0,0,0,23.7794140625,168338,54.818881671431974,1008.04698497106,43.4089922863111
1772058741.8345034,300,82,16,0,0,0,23.812421875,168338,54.77736682619187,1008.0456788261287,43.419912266791414
1772058742.8465333,354,100,22,2,0,0,23.845234375,169146,54.76211956349873,1008.0477317082649,43.40274922033913
1772058743.8586419,354,100,22,2,0,0,23.876484375,168660,54.733517020480186,1008.0546652032629,43.3447821967386
1772058744.8703287,354,100,22,2,0,0,23.908515625,168984,54.691882900175656,1008.0591521733099,43.30726935426499
1772058745.8821201,348,94,22,2,0,0,23.94171875,169146,54.66355406057731,1008.0599703996427,43.30042867340319
1772058746.8942764,348,94,22,2,0,0,23.9739453125,169471,54.61538971421946,1008.0574119370971,43.321818400553916
1772058747.906086,348,94,22,2,0,0,24.006171875,168984,54.5541017813678,1008.0603568213342,43.29719804382884
1772058748.9182243,360,98,22,2,0,0,24.036640625,170455,54.47946254287844,1008.0605330475497,43.2957247272242
1772058749.9302235,360,98,22,2,0,0,24.0673046875,169634,54.41799843380517,1008.064684781885,43.26101474668054
1772058750.9423454,360,98,22,2,0,0,24.097578125,169961,54.343377650112224,1008.0645457690521,43.26217694169443
1772058751.9543705,336,98,22,2,0,0,24.1290234375,169961,54.3017306778303,1008.0662452977251,43.2479683073355
1772058752.9657462,336,98,22,2,0,0,24.164765625,169961,54.24755911428887,1008.0691871124122,43.223373787691
1772058753.9780028,336,98,22,2,0,0,24.19953125,169471,54.20637846936647,1008.065078219968,43.25772546991695
1772058754.9900208,312,90,22,2,0,0,24.2333203125,169634,54.171626936794866,1008.0686117888158,43.228183673951165
1772058756.0022287,312,90,22,2,0,0,24.2649609375,170290,54.149697215089255,1008.0650893599179,43.25763233614348
1772058757.014623,312,90,22,2,0,0,24.297578125,170620,54.114794403941886,1008.0667711324089,43.24357215550664
1772058758.026283,288,86,26,2,0,0,24.325703125,171449,54.0530798810936,1008.0705715836075,43.21179918205706
1772058759.0383463,288,86,26,2,0,0,24.345625,171951,53.977173386576744,1008.0688220941594,43.22642545485732
1772058760.0505154,288,86,26,2,0,0,24.3633984375,171616,53.88136509501316,1008.0618564540779,43.284660563835125
1772058761.0625346,264,80,26,2,0,0,24.3883984375,173304,53.81274992045576,1008.0625738867468,43.27866256881644
1772058762.0744128,264,80,26,2,0,0,24.41359375,173304,53.72455903709879,1008.0562466085414,43.33156100834389
1772058763.0864236,264,80,26,2,0,0,24.43703125,172794,53.64924406992896,1008.0416412503503,43.45366835483588
1772058764.1010551,252,78,26,2,0,0,24.455390625,173304,53.56673586875406,1008.03558751597,43.50428070991376
1772058765.1132233,252,78,26,2,0,0,24.4739453125,173988,53.46468888727658,1008.0298388895568,43.55234243216973
1772058766.125191,252,78,26,2,0,0,24.492109375,173817,53.34305491569422,1008.0197995660923,43.636277306486534
1772058767.137303,288,88,30,2,0,0,24.50890625,174678,53.24088464079942,1008.0167971718538,43.6613792871054
1772058768.1494029,288,88,30,2,0,0,24.524921875,174678,53.13866144125997,1008.0199158385298,43.6353051940369
1772058769.1615624,288,88,30,2,0,0,24.53546875,174851,53.0162064435428,1008.0052515134687,43.75790911077321
1772058770.1736085,258,78,26,2,0,0,24.540546875,175898,52.90612499136904,1008.016906849989,43.66046230505317
1772058771.185709,258,78,26,2,0,0,24.5387890625,175898,52.7756685852986,1008.0104692949125,43.71428467759238
1772058772.1977293,258,78,26,2,0,0,24.5325390625,176780,52.65121088756063,1008.0098354723186,43.71958388392752
1772058773.209156,240,72,20,0,0,0,24.527265625,177136,52.53996828200457,1008.0033859084853,43.773506964453844
1772058774.2211788,240,72,20,0,0,0,24.5071484375,177671,52.413834324408406,1008.0103596828213,43.71520111220804
1772058775.233177,240,72,20,0,0,0,24.4997265625,177671,52.30894653621208,1008.0023708982684,43.78199321920856
1772058776.2452803,246,76,20,0,0,0,24.4962109375,178030,52.26304185929828,1007.9950084799393,43.84354882400757
1772058777.257256,246,76,20,0,0,0,24.4907421875,178391,52.20391356392916,1007.990089059091,43.88467925232879
1772058778.2693715,246,76,20,0,0,0,24.483125,178571,52.13803526755976,1007.992817834978,43.86186440821454
1772058779.280202,264,78,22,0,0,0,24.47140625,179298,52.097577838762646,1007.9946125629025,43.8468590119808
1772058780.2909844,264,78,22,0,0,0,24.467109375,178934,52.051625116109705,1008.0043961622692,43.76506048395234
1772058781.301744,264,78,22,0,0,0,24.4610546875,179298,52.024897858516965,1008.015091658253,43.6756385238692
1772058782.3125234,258,74,20,0,0,0,24.46046875,180031,51.979452417807835,1008.0086586608027,43.7294228698466
1772058783.3232396,258,74,20,0,0,0,24.4497265625,187842,51.95211991566602,1008.019336037943,43.64015270119446
